position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
Business Development Intern,Business Development; Client Relationship; Sales & Marketing,NA,XeonBD,Dhaka,,Intern,Office,2,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532781
Business Development Executive,B2B Sales; Communication and interpersonal skill; ERP Sales; IT & Software Marketing; Lead Generation; Market Research,"At least 3 years The applicants should have experience in the following business area(s): Software Company, Supply Chain",QPath Limited,Dhaka,,FullTime,Office,5,Tk. 35000 - 40000 (Monthly),2026-09-13,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531238
.NET Engineer (API Developer),API Development; .NET; ASP.NET Core; RESTful APIs,"1 to 3 years The applicants should have experience in the following business area(s): Travel Agency, Travel Startup",Mynztrip.com,Anywhere in Bangladesh,"Bachelor of Science (BSc) in Computer Science Bachelor's degree in Computer Science, Software Engineering, or a related field.",FullTime,Home,1,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532762
Territory Sales Officer,Communication and interpersonal skill; Sales & Marketing; Sales Target Achievement; Telemarketing; Lead Generation; Client Relationship,"At most 2 years The applicants should have experience in the following business area(s): Garments, Garments Accessories, Agro based Startup, Artificial Intelligence (AI) Startup",ANTS,Dhaka,Bachelor of Business Administration (BBA) Bachelor of Business Studies (BBS) Bachelor of Arts (BA),FullTime,Office,2,Tk. 15000 - 20000 (Monthly),2026-09-13,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1532735
Assistant Manager/ Deputy Manager- ERP & IT,CyberSecurity; ERP Implementation; Hardware & Networking; Server Management,"5 to 10 years The applicants should have experience in the following business area(s): Manufacturing (FMCG), Real Estate",Deshi Consumer Products Limited.,Chattogram,"Master of Science (MSc) in Computer Science, Information Technology Bachelor of Science (BSc) in Computer Science, Information Technology Relevant professional certifications will be an added advantag",FullTime,Office,1,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532702
Senior Executive - IT (Infrastructure & Network Support),Azure; IT Asset Management; Windows Server; IT Infrastructure,"3 to 5 years The applicants should have experience in the following business area(s): Real Estate, IT Enabled Service",Shanta Holdings Ltd.,Dhaka,"Bachelor’s degree in Computer Science, Information Technology or a related field from any reputed public or private university.",FullTime,Office,1,Negotiable,2026-09-13,2026-09-28,bdjobs.com,https://bdjobs.com/h/details/1532700
Android App Developer (Kotlin),Android application development; Firebase; Git and Github; Google Maps; Java; Kotlin; Payment Gateway; REST API; Web Socket; XML; iOS and Android Application Design,"At least 4 years The applicants should have experience in the following business area(s): E-commerce, Educational Technology (Edtech) Startup, Financial Technology (Fintech) Startup, IT Enabled Service, Logistics Startup, Software Company, Travel Agency",JACHAI.COM LTD,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-13,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1531336
Software Engineer-Capital Market Solutions,Capital Market; Investment Banking; PLSQL; SQL; Data Migration; Incident Management; Root Cause Analysis,At least 2 years The applicants should have experience in the following business area(s): Software Company,LEADS Corporation Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,,1,Negotiable,2026-09-13,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1532663
SEO & Digital Marketing Specialist - Team Lead,Campaign Management; Content Marketing; Content writing; Creative Design; Digital Marketing (Social Media Marketing); E-Commerce products; Search Engine Optimization (SEO); SEO and Digital Marketing; Social Media Management; Ecommerce; Market Research,"At least 4 years The applicants should have experience in the following business area(s): Advertising Agency, Direct Selling/Marketing Service Company, E-commerce, F-commerce, IT Enabled Service, Market Research Firms, Online Newspaper/ News Portal, Web Media/Blog",Future Digit,"Dhaka, Dhaka (Adabor)","Bachelor's Degree in Marketing, Business, CSE, IT, or another relevant discipline. Professional certification in SEO or digital marketing will be an advantage.",FullTime,Office,1,Tk. 25000 - 35000 (Monthly),2026-09-13,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1532833
Computer Operator,Asycuda; File management; Fluent in English; Microsoft Excel; Microsoft Word,NA,M/S. SHURJO - PRATAP GLOBAL LIMITED (SPGL),Chattogram,HSC Diploma Bachelor/Honors Diploma-in-Computer Science Graduate,FullTime,Office,1,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532989
Business Analyst to Director,Analytical Skill; Business Analysis; MIS; PowerBI; Statistical Data Analysis; Tableu,"At least 5 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, Electronic Equipment/Home Appliances",Walton Hi-Tech Industries PLC.,Dhaka,"Bachelor of Business Administration (BBA) Master of Business Administration (MBA) BBA/ MBA in AIS, MIS, Finance, Banking, Marketing or B.Sc. in Engineering (EEE/ ME/ IPE or relevant discipline).",FullTime,Office,1,Negotiable,2026-09-13,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532865
Digital Marketing Executive,Facebook Business Manager; Facebook Live Presenter; Facebook marketing; Google Ads; Instagram Marketing; Search Engine Optimization (SEO); SEO and Digital Marketing; Digital Marketing (Social Media Marketing),"1 to 3 years The applicants should have experience in the following business area(s): Business-to-Business (B2B) Software and Services Startup, Buying House, E-commerce, Garments, Garments Accessories, Software Company, Textile",1 & 9 Apparel Creator Ltd.,Dhaka (Mirpur 1),"Bachelor in Engineering (BEngg) in Computer Science & Engineering, Information Technology, Computing & Information System Bachelor of Business Administration (BBA) in Marketing",FullTime,Office,5,Negotiable,2026-09-12,2026-10-13,bdjobs.com,https://bdjobs.com/h/details/1532632
MIS Executive / Junior BI Analyst,Data analysis; Microsoft Excel; Microsoft Power BI; MySQL; MIS Reporting; Reporting Dashboard; Information Security,"1 to 5 years The applicants should have experience in the following business area(s): Dyeing Factory, Spinning, Textile, Woven Manufacturing Freshers are also encouraged to apply.",Shatarupa Weaving Mills Ltd.,Dhaka (Old Dhaka),"Bachelor of Science (BSc) in Management Information System, Computer Science & Engineering",FullTime,Office,1,Negotiable,2026-09-12,2026-10-12,bdjobs.com,https://bdjobs.com/h/details/1532621
"Executive, Support Engineer",macOS; Network Security; Incident Management,3 to 4 years The applicants should have experience in the following business area(s): Hospital,United Healthcare Services Ltd.,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,,1,Negotiable,2026-09-12,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1532490
"Executive, System Engineer",Power Infrastructure Management; Mikrotik; Juniper; Routing Protocol,5 to 6 years The applicants should have experience in the following business area(s): Hospital,United Healthcare Services Ltd.,Dhaka,,FullTime,Office,1,Negotiable,2026-09-12,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1532500
ERP Software Sales Closer,Business Research; Corporate Marketing; Sales & Marketing; SEO and Digital Marketing,"At least 1 year The applicants should have experience in the following business area(s): BPO/ Data Entry Firm, Call Center, E-commerce, IT Enabled Service, Software Company",Xeon Technology Limited,Dhaka,Bachelor of Business Administration (BBA) Master of Business Administration (MBA),FullTime,Office,2,Tk. 50000 - 100000 (Monthly),2026-09-12,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1529947
NOC Engineer (Day and Night Shifting),Cisco; Flexible with working hour; IT network; Network Monitoring; Network Operation; NOC; Stakeholder Liaison; Technical Support,"At least 3 years The applicants should have experience in the following business area(s): Garments, Group of Companies, Multinational Companies, Software Company, Telecommunication, Textile",Gildan-G.A.B. Limited,Dhaka (GULSHAN 2),"Bachelor of Science (BSc) in Computer Science & Engineering, Electronics and Telecommunication Engineering, Electrical & Electronic Engineering Preferred Professional Certification: Microsoft Certifie",FullTime,Office,1,Negotiable,2026-09-12,2026-10-12,bdjobs.com,https://bdjobs.com/h/details/1532362
Content Writer Intern,Content Editing; Content Writing; Copywriting; Digital Content Development; Proofreading; Technical Content Writer; Website Content Creation,NA,Web Impression Technology,Dhaka (Malibagh),,Intern,Office,1,Negotiable,2026-09-12,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1532338
Frontend Developer,API Integration; CSS3; Git and Github; HTML5; JavaScript; Next.js; React.js; REST API; Tailwind CSS; TypeScript,"1 to 3 years The applicants should have experience in the following business area(s): Advertising Agency, Software Company, IT Enabled Service",Nocfinity,Dhaka (Aftabnagar),,FullTime,,2,Tk. 25000 - 35000 (Monthly),2026-09-11,2026-10-11,bdjobs.com,https://bdjobs.com/h/details/1532328
Full-Stack Developer,Full Stack Development; Git; JavaScript; MySQL; Next.js; Node.js; React.js; REST API; TypeScript; Web Application Development; Database management; Backend Development; Frontend Development (Web),"2 to 4 years The applicants should have experience in the following business area(s): Advertising Agency, IT Enabled Service, Software Company",Nocfinity,Dhaka (Aftabnagar),"Bachelor/Honors in CSE, Software Engineering, IT, or a related field is preferred.",FullTime,Office,2,Tk. 35000 - 50000 (Monthly),2026-09-10,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532273
Network Engineer,FinTech; Network Engineering; Software Development; LAN; WAN; Cisco; ISP,"3 to 5 years The applicants should have experience in the following business area(s): Telecommunication, Software Company, IT Enabled Service, Engineering Firms, Web Media/Blog, E-commerce",Optimum Solution and Services Ltd,Dhaka (Uttara Sector 11),"Bachelor in Engineering (BEngg) in Computer Engineering, Computer Science & Engineering, Computing & Information System, Electrical & Electronic Engineering, Information Technology",FullTime,,1,Tk. 70000 - 80000 (Monthly),2026-09-10,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531966
ASP.NET Core Developer,FinTech; Software Development; ASP.NET Core; Git and Github; HTML5 & CSS3; MSSQLServer; MySQL; Razor Views in ASP.NET,"At least 4 years The applicants should have experience in the following business area(s): Engineering Firms, IT Enabled Service, Software Company",Optimum Solution and Services Ltd,Dhaka (Uttara Sector 11),"Bachelor in Engineering (BEngg) in Computer Engineering, Computer Science & Engineering, Information Technology",FullTime,Office,1,Tk. 40000 - 50000 (Monthly),2026-09-10,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531940
Manager / Senior Manager - Management Information Systems (MIS),Business Development; Cross-functional Collaboration; Data Management; Departmental store; Factory Compliance; Process Development; Process Improvement,"5 to 10 years The applicants should have experience in the following business area(s): Manufacturing (Light Engineering and Heavy Industry), Group of Companies, Plastic/ Polymer Industry, Furniture Manufacturer, Steel, Furniture",Hatim Group,Dhaka,Bachelor of Science (BSc) in Computer Science,FullTime,Office,1,Tk. 60000 - 70000 (Monthly),2026-09-10,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1532131
ERP Techno- Functional Lead (Lead ERP),Database Administrator (DBA); ERP Implementation; ORACLE EBS; Project Management; IT Support Service; Data Migration; Oracle APPS DBA,"At least 10 years The applicants should have experience in the following business area(s): Garments, Garments Accessories, Spinning, Textile",TALHA GROUP (A strategic alliance with Noman Group),Dhaka (GULSHAN 2),"Bachelor’s/Master’s in Computer Science, Information Systems, or related field.",FullTime,Office,1,Negotiable,2026-09-10,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532076
QA Engineer - Intern (Paid),Bug Tracking and Reporting; Manual Testing; Python; STLC; Test Case,NA,Bdjobs.com Limited,Dhaka (Kawran Bazar),Bachelor in Engineering (BEngg) in Computer Science & Engineering,FullTime,,1,Negotiable,2026-09-10,2026-09-26,bdjobs.com,https://bdjobs.com/h/details/1531900
Software Developer - .NET,ASP.NET; ASP.NET Web API; Git and Github; MSSQL; VB.NET; Razor Views in ASP.NET; RESTful API; Microsoft SQL Server (MSSQL),2 to 3 years,Be Rich Limited,Chattogram (Chattogram Sadar),,FullTime,Office,2,Negotiable,2026-09-10,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531923
Business Development (Intern),Sales & Marketing; Consumer Durables - Sales & Marketing; Business Development; Business Analysis; Reporting,NA,Smart Software Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science Bachelor of Commerce (BCom) in Bachelor of Commerce (BCom) Diploma in Computer Bachelor of Business Administration (BBA),Intern,Office,5,Tk. 10000 - 15000 (Monthly),2026-09-10,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1531697
Executive - Digital Marketing & SEO,Content Marketing; Digital Marketing (Social Media Marketing); keyword research; on page and off page SEO; Social Media Marketing,1 to 3 years The applicants should have experience in the following business area(s): Engineering Firms,ECORAY Sustainability and Design Ltd,Dhaka (DOHS Mohakhali),"Diploma/Bachelor’s degree in Marketing, Digital Marketing, Computer Science, IT, Communications, or a related field from a reputed university. Professional certification/course in Digital Marketing, S",FullTime,Office,1,Negotiable,2026-09-10,2026-10-10,bdjobs.com,https://bdjobs.com/h/details/1532121
Head of Corporate Sales (IT Products),Budgeting and Forecasting; Client Relationship; Communication and interpersonal skill; Corporate Sales; Presentation and Reporting; Sales & Marketing; Sales Target Achievement; Sales Team Leadership; Strategic Planning; Target Oriented; Business Development; Relationship Management; Key Account Management,"10 to 12 years The applicants should have experience in the following business area(s): Computer Hardware/Network Companies, Group of Companies, IT Enabled Service, Manufacturing (Light Engineering and Heavy Industry)",Whiteshell Hi-Tech Industries Limited,Dhaka,"Bachelor's or Master's degree in Business Administration, Marketing, Management, IT, or a related discipline. An MBA in Marketing/Management will be an advantage. Relevant professional training or cer",FullTime,Office,1,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531775
Jr. Image Editor,Adobe Photoshop; Photo Editing; clipping path; Multiple Clipping Path; Image Masking; Image retouching; clipping mask; jewellery retouch; High end retouching,"At least 1 year The applicants should have experience in the following business area(s): IT Enabled Service, Design/Printing/Publishing Freshers are also encouraged to apply.",Editouch IT,"Dhaka, Dhaka (Mohammadpur)",SSC HSC Practical skills and experience will be prioritized over academic background,FullTime,Office,10,Negotiable,2026-09-09,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531324
"Senior Executive, Corporate Sales (IT Products)",B2B and B2C sales and marketing; Business Development; Communication and interpersonal skill; Corporate Sales; Presentation and Reporting; Problem solving and decision making; Sales Forecasting; Sales Target Achievement; Target Oriented; Lead Generation,4 to 6 years,Whiteshell Hi-Tech Industries Limited,Dhaka,"Master of Business Administration (MBA) Bachelor's or Master's Degree in Business Administration, Marketing, Management, IT, or a related discipline. An MBA in Marketing/Management will be an advantag",FullTime,Office,2,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531742
Technical Customer Support Engineer,AWS Cloud; Cloud Platform; Cloud Service; DNS; domain; Hosting; IT Support Service; network server; Server side Technologies; Customer Service; IT System Management; Technical Service; Technical Support Engineer; Troubleshooting,NA,XeonBD,Dhaka (Mohammadpur),"Bachelor of Science (BSc) in Computer Science & Engineering, Electrical & Electronic Engineering Diploma in Computer",FullTime,Office,2,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531660
Senior Executive MIS,ERP Software; Cross-functional Collaboration; Regulatory Affairs; Functional Requirements; Information technology; Maintenance and Troubleshooting; Reporting Dashboard; Business Development,"4 to 5 years The applicants should have experience in the following business area(s): Garments, Group of Companies",A 100% Export Oriented leading Knit Garments Factory.,Gazipur,"Bachelor of Science (BSc) in Computer Science, • B. Sc. in Computer Science and Engineering (CSE) ERP software",FullTime,Office,1,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531665
SEO & Creative Designer - (Female),Adobe Illustrator; Adobe indesign; Adobe Photoshop; Canva; Competitor Analysis,"2 to 5 years The applicants should have experience in the following business area(s): IT Enabled Service, Mobile Industry, Software Company",AIIM Global Limited,Dhaka,Bachelor of Business Administration (BBA) in Marketing Bachelor of Science (BSc) in Computer Science,FullTime,Home,1,Tk. 25000 - 30000 (Monthly),2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1528126
Assistant NOC Manager,Network architecture; Network Monitoring; Root Cause Analysis,"At least 2 years The applicants should have experience in the following business area(s): Telecommunication, IT Enabled Service, ISP, Computer Hardware/Network Companies, Electronic Equipment/Home Appliances, Technical Infrastructure Freshers are also encouraged to apply.",i Smart Group,Khulna (Khulna Sadar),Bachelor in Engineering (BEngg),FullTime,Office,1,Tk. 18000 - 25000 (Monthly),2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531526
Business Analyst,Business Analysis; Product analysis; Project Documentation; Project Management; Stakeholder Management,"2 to 3 years The applicants should have experience in the following business area(s): IT Enabled Service, Software Company",BYSL Global Technology Group,Dhaka (Gulshan),"Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Information Technology Bachelor of Business Administration (BBA) Bachelor`s degree in Computer Science, Information Technolog",FullTime,,1,--,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531602
Software / Product Engineer - Prototype Build,Software Development; Product Development; Python,1 to 2 years Freshers are also encouraged to apply.,A Well Reputed Company,Anywhere in Bangladesh,"Minimum Bachelor's degree (or equivalent) in Software Engineering, Computer Science, Statistics, or a related quantitative field.",FullTime,"Home,Office",1,Negotiable,2026-09-09,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531234
Analyst / Product Engineer,Information technology; Artificial intelligence (AI); Product Development,1 to 2 years Freshers are also encouraged to apply.,A Well Reputed Company,Dhaka,"Minimum Bachelor's degree (any discipline). A background with a statistics, marketing, AI, software programming or research component is preferred, but strong candidates from other disciplines are enc",PartTime,"Home,Office",1,Negotiable,2026-09-09,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531227
Senior Executive/Assistant Manager; Transmission (NTTN),Network Operation; NTTN; Reporting and Documentation; Stakeholder Management; Transmission; Vendor Management,"2 to 5 years The applicants should have experience in the following business area(s): ISP, Telecommunication",BRACNet Limited,Dhaka,"Bachelor of Science (BSc) in Electrical & Electronic Engineering, Computer Science & Engineering, Electronics and Telecommunication Engineering",FullTime,Office,1,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531584
Intern - Information Technology,Network Engineering; LAN; WAN; Switches; Routers; Installation; Erection; Server Configuration; Maintenance and Troubleshooting,NA,Labaid Cancer Hospital,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering Currently studying or recently completed a Bachelor’s degree in Computer Science, Computer Science & Engineering, Information Technology or ",Intern,,1,Tk. 10000 (Monthly),2026-09-09,2026-09-24,bdjobs.com,https://bdjobs.com/h/details/1531536
HR & Admin Executive (Intern),Communication; employee development skill; Leave Management; Problem solving and decision making; Recruitment & Selection; Reporting and Documentation; Teamwork and Cooperation; HR and Administration; HR and compliance; HR and Payroll,NA,IGL Group,Dhaka,Bachelor of Business Studies (Pass) in Human Resource Management Bachelor of Commerce (Pass) in Human Resource Management Bachelor of Commerce (BCom) in Human Resource Management Bachelor of Business ,Intern,Office,1,Negotiable,2026-09-09,2026-09-24,bdjobs.com,https://bdjobs.com/h/details/1531494
Database Administrator (DBA),Database Administration; PostgreSQL; Oracle; MySQL; PowerShell; Access Control,3 to 5 years The applicants should have experience in the following business area(s): IT Enabled Service,Christian Service Society (CSS),Khulna,Bachelor of Science (BSc) in Computer Science and Engineering (CSE).,FullTime,,1,Negotiable,2026-09-09,2026-10-03,bdjobs.com,https://bdjobs.com/h/details/1531519
Senior Executive - Information Technology,Networking; Troubleshooting; Hardware; System Administration; Technical Support,3 to 5 years The applicants should have experience in the following business area(s): IT Enabled Service,Labaid Cancer Hospital,Dhaka (Green Road),"Bachelor of Science (BSc) in Computer Science & Engineering Bachelor’s degree in Computer Science, Computer Science & Engineering, Information Technology or a related discipline. Relevant professional",FullTime,,1,Negotiable,2026-09-09,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1531491
Network Engineer,Network Monitoring; Network Troubleshooting; Technical Documentation,NA,ZTE Corporation,Dhaka,"Bachelor of Science (BSc) in Communication Engineering, Computer Science & Engineering, Electronics and Telecommunication Engineering, Electrical & Electronic Engineering",FullTime,Office,2,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531469
Data Analytic & Automation Engineer,Data Visualization; Python; Microsoft Power BI,NA,ZTE Corporation,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering, Applied Statistics and Data Science, Information Technology, Electronics and Telecommunication Engineering",FullTime,Office,3,Negotiable,2026-09-09,2026-10-09,bdjobs.com,https://bdjobs.com/h/details/1531485
Technical SEO Expert,Search Engine Optimization (SEO); keyword research; Competitor Analysis; google search console,At least 5 years The applicants should have experience in the following business area(s): Business-to-Business (B2B) Software and Services Startup,ICS Legal,Sylhet (Sylhet Sadar),Bachelor of Business Studies (BBS),FullTime,Office,1,Tk. 20000 - 25000 (Monthly),2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531357
Executive -IT (Plant),LAN; WAN; Firewall; Inventory Management; IT Asset Management,2 to 5 years The applicants should have experience in the following business area(s): Group of Companies,East Coast Group,Dhaka (Ashulia),"Bachelor of Science (BSc) in CSE, IT, ICT, Computer Engineering or equivalent. Diploma in Computer in CSE, IT, ICT",FullTime,Office,1,Negotiable,2026-09-08,2026-10-07,bdjobs.com,https://bdjobs.com/h/details/1530822
IT & Digital Marketing Officer- Head Office,Digital Marketing (Social Media Marketing); SEO and Digital Marketing; Digital Content Development; Search Engine Optimization (SEO); seo audit; Adobe Photoshop; Adobe Illustrator,"1 to 2 years The applicants should have experience in the following business area(s): Hospital, Diagnostic Centre, Clinic, Healthcare/Lifestyle product","Kidney Awareness, Monitoring and Prevention Society (KAMPS)",Dhaka (Mohammadpur),"Bachelor of Science (BSc) in Computer Science & Engineering, Information Technology, Electrical & Electronic Engineering Bachelor of Science (BSc) in Computer Science Engineering/ Information Technolo",FullTime,Office,2,--,2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531281
Assistant / Deputy Branch In-charge,Communication and interpersonal skill; Computer Literacy; Email; Internet Proficiency; Leadership; MS Office; Optical Fiber Splicing; Networking; ISP operation,1 to 5 years The applicants should have experience in the following business area(s): ISP,BlueNet Communication JV Ltd.,"Cumilla, Dhaka (GULSHAN 1, Uttara), Joypurhat, Khulna, Sylhet",Diploma in Computer Bachelor of Science (BSc) Minimum Diploma in Engineering (CMT/ENT/ET) .,FullTime,Office,6,Tk. 20000 - 35000 (Monthly),2026-09-08,2026-10-06,bdjobs.com,https://bdjobs.com/h/details/1530712
"Sr. Executive/ Executive, IT (MIS)- Adamjee EPZ",ERP Software; Logic ERP Software; MIS; ERP Systems; Implementing projects; Merchandising and Production.; Open to take responsibility; Purchase; Procurement; RMG planning,"3 to 5 years The applicants should have experience in the following business area(s): Garments, Textile, IT Enabled Service",A Reputed RMG Group of Company,Narayanganj (Adamjee EPZ),Bachelor of Science (BSc) in Textile Engineering,FullTime,Office,1,Negotiable,2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531217
Senior Software Engineer (Full-stack),SPRING boot; RESTful API; HTTP; PostgreSQL; oAuth,At least 6 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Information Technology Academic Degree: Candidates must have a Ba,FullTime,,4,Tk. 160000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530946
Software Engineer (Full-stack),Full Stack Development; RESTful APIs; SPRING boot; ReactJS,At least 2 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Information Technology Academic Degree: Candidates must have a Ba,Contract,,16,Tk. 120000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530949
Software Test Engineer,API Testing; Automated Testing; Database Administration; Agile Scrum,At least 2 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Information Technology i. Candidates must have a Bachelor's degre,Contract,,3,Tk. 120000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530954
Senior Mobile Application Developer,API Integration; mobile application testing; Firebase; RESTful API,At least 6 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Information Technology 1. Academic Degree: Candidates must have a,Contract,,1,Tk. 160000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530955
Mobile Application Developer,JSON; RESTful API; Testing,At least 2 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering Bachelor of Science (BSc) in Information Technology 1. Academic Degree: Candidates must have a,Contract,,1,Tk. 120000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530962
Data Architect,Data analysis; Database; Data Management; Oracle; MySQL,At least 10 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,Bachelor of Science (BSc) in Computer Science Bachelor of Science (BSc) in Computer Science & Engineering 1. Degree Requirement: Bachelor's degree in Computer Science / Computer Science & Engineering/,Contract,,1,Tk. 160000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530995
ERP Finance and Accounting Implementation Specialist,ERP,At least 10 years The applicants should have experience in the following business area(s): NGO,Palli Karma-Sahayak Foundation (PKSF),Dhaka,"Master of Business Studies (MBS) in Accounting Master of Business Studies (MBS) in Finance Bachelor of Business Administration (BBA) 1. Academic Degree: Master`s or Bachelor`s degree in Accounting, Fi",Contract,,1,Tk. 200000 (Monthly),2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1531003
Graphic Design (Intern),Adobe Illustrator and Adobe Photoshop; Adobe indesign; Canva; Graphic Design and Digital Content Creation; Adobe Photoshop; Adobe Illustrator; Adobe After Effects; Video Editing; Video Production,NA,Web Impression Technology,Dhaka (Malibagh),,Intern,Office,2,Negotiable,2026-09-08,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1530896
Programmer (Mobile Application),Flutter; Java or Kotlin; RESTful API; Swift; Android application development; iOS Application Development,"3 to 5 years The applicants should have experience in the following business area(s): Garments, Textile",A Leading Garments Manufacturing Company in Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1530916
Software Engineer,ASP.NET Core; JavaScript; React | Node JS | Javascript; Software design; software documentation,"1 to 4 years The applicants should have experience in the following business area(s): Garments, Textile",A Leading Garments Manufacturing Company in Bangladesh,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,1,Negotiable,2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1530908
"Design Engineer (Fire system, HVAC System, Plumbing System).",Fire Protection and Detection System; HVAC; HVAC Design and Estimation; Plumbing Design,"2 to 5 years The applicants should have experience in the following business area(s): Consulting Firms, Engineering Firms",Project Management and Engineering Consultant (PROmec),Anywhere in Bangladesh,Bachelor of Science (BSc) in EEE / Mechanical or relevant subject,FullTime,Office,1,Negotiable,2026-09-08,2026-10-08,bdjobs.com,https://bdjobs.com/h/details/1531253
