position,skills,experience,company_name,job_locations,education,job_type,workplace,vacancies,salary,posted_date,deadline,source,job_url
Software Test Engineer,Artificial intelligence (AI); SaaS; Software Testing; Automation; Backend Development; Katalon Studio; SDLC,At least 2 years The applicants should have experience in the following business area(s): Software Company,Mac Technology Australia,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering Master of Science (MSc) in Computer Science & Engineering Bachelor’s or Master’s degree in Computer Science, Software Engineering, or a rela",FullTime,Office,1,Negotiable,2026-09-16,2026-10-16,bdjobs.com,https://bdjobs.com/h/details/1534363
Senior Software Engineer (AI & Full Stack),Prompt Engineering; Full Stack Development; RESTful APIs; React.js; fastapi; Node.js,"1 to 3 years The applicants should have experience in the following business area(s): Telecommunication, Software Company, IT Enabled Service, Computer Hardware/Network Companies, Development Agency, Food (Packaged)/Beverage, Developer, Importer Freshers are also encouraged to apply.",Unisoft System Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,FullTime,Office,3,--,2026-09-16,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1534365
Business Intelligence (BI) Developer,Communication; Microsoft Excel; Business Analysis,"2 to 6 years The applicants should have experience in the following business area(s): Multinational Companies, Garments",American & Efird (Bangladesh) Ltd.,Dhaka,"Bachelor of Science (BSc) in Computer Science & Engineering, Data Science, Statistics",FullTime,,1,--,2026-09-16,2026-10-16,bdjobs.com,https://bdjobs.com/h/details/1534267
Support Engineer - IT,Computer Troubleshooting; Hardware & Networking; Internet; CCTV; CCTV Installation; CCTV Maintaining; DHCP; DNS; Ticketing & Reservation,3 to 5 years The applicants should have experience in the following business area(s): Garments,Grameen Fabrics & Fashions Ltd.,Gazipur (Gazipur Sadar),Diploma in Computer,FullTime,Office,1,Negotiable,2026-09-16,2026-09-25,bdjobs.com,https://bdjobs.com/h/details/1534135
Software Developer,API Development; Debugging; Full Stack Development; Software Development; Technical Documentation,"5 to 6 years The applicants should have experience in the following business area(s): IT Enabled Service, Software Company",Sky Aviation Services Ltd.,Dhaka,Masters in Computer Application (MCA),Contract,Office,1,Negotiable,2026-09-16,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1534263
Officer (MIS),Analytical Skill; Crystal Reports; MS Office; Problem-solving skill; SPSS; MIS,At least 3 years The applicants should have experience in the following business area(s): Micro-Credit,Manabik Shahajya Sangstha (MSS),Dhaka,"Master of Business Administration (MBA) in Management Information System, Statistics, Accounting",FullTime,Office,1,Tk. 32000 - 35000 (Monthly),2026-09-16,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1534199
Sr. Officer/ Asst. Manager- Enterprise Sales,Business Development; B2B Sales; Corporate Sales; marketing planning; Relationship Management; Cloud Service,NA,InterCloud Limited,Dhaka,"Bachelor of Business Administration (BBA) Bachelor of Science (BSc) in Computer Science & Engineering, Electrical & Electronic Engineering",FullTime,Office,1,Negotiable,2026-09-16,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1534020
Territory Officer (Night Shift),Compliance; Negotiation,NA,TechMinds Ltd,Dhaka (Kawran Bazar),,FullTime,,5,Tk. 20000 - 35000 (Monthly),2026-09-16,2026-09-30,bdjobs.com,https://bdjobs.com/h/details/1534168
Business Development Manager (International Software Market),Client Acquisition; IT Outsourcing; Sales & Marketing; Software Sales; Strong Communication skill with foreign clients; Business Development; Lead Generation; inbound; Outbound calls,"At least 5 years The applicants should have experience in the following business area(s): IT Enabled Service, Software Company, Telecommunication",A Reputed Software Company,Dhaka (GULSHAN 1),BBA/MBA/B.Sc in CSE/EEE/CS/M.Sc/MS/ or any,FullTime,Office,1,Tk. 48000 - 50000 (Monthly),2026-09-16,2026-10-16,bdjobs.com,https://bdjobs.com/h/details/1534559
Software Engineer - MERN Stack,Express.js; Figma; MongoDB; Next.js; Nginx; React.js; Node.js,At least 1 year The applicants should have experience in the following business area(s): Software Company,Skycommerce,Dhaka (Uttara),"Bachelor of Science (BSc) in Computer Science & Engineering, Computer Science",FullTime,Office,1,Tk. 25000 - 30000 (Monthly),2026-09-16,2026-09-23,bdjobs.com,https://bdjobs.com/h/details/1534408
